algorithm,distribution,score,time_seconds,seed
AHCFA,Clustered,48.000000, 720.000000, 35
AHCFA,Clustered,71.000000, 720.000000, 36
AHCFA,Clustered,81.000000, 720.000000, 37
AHCFA,Clustered,64.000000, 720.000000, 38
AHCFA,Clustered,75.000000, 720.000000, 39
AHCFA,Clustered,65.000000, 720.000000, 40
AHCFA,Clustered,79.000000, 720.000000, 41
AHCFA,Clustered,65.000000, 720.000000, 42
AHCFA,Clustered,81.000000, 720.000000, 43
AHCFA,Clustered,62.000000, 720.000000, 44
AHCFA,Clustered,55.000000, 720.000000, 45
AHCFA,Clustered,87.000000, 720.000000, 46
AHCFA,Clustered,87.000000, 720.000000, 47
AHCFA,Clustered,73.000000, 720.000000, 48
AHCFA,Clustered,84.000000, 720.000000, 49
AHCFA,Clustered,56.000000, 720.000000, 50
