distribution,algorithm,seed,minute,cumulative_score,minute_score
Random,AHCFA,3,7,45,4
Random,AHCFA,3,8,51,6
Random,AHCFA,3,9,55,4
Random,AHCFA,3,10,60,5
Random,AHCFA,3,11,63,3
Random,AHCFA,3,12,68,5
Random,AHCFA,4,1,9,9
Random,AHCFA,4,2,17,8
Random,AHCFA,4,3,24,7
Random,AHCFA,4,4,29,5
Random,AHCFA,4,5,34,5
Random,AHCFA,4,6,35,1
Random,AHCFA,4,7,40,5
Random,AHCFA,4,8,45,5
Random,AHCFA,4,9,57,12
Random,AHCFA,4,10,67,10
Random,AHCFA,4,11,71,4
Random,AHCFA,4,12,75,4
Random,AHCFA,5,1,9,9
Random,AHCFA,5,2,13,4
Random,AHCFA,5,3,18,5
Random,AHCFA,5,4,20,2
Random,AHCFA,5,5,25,5
Random,AHCFA,5,6,27,2
Random,AHCFA,5,7,32,5
Random,AHCFA,5,8,38,6
Random,AHCFA,5,9,40,2
Random,AHCFA,5,10,43,3
Random,AHCFA,5,11,45,2
Random,AHCFA,5,12,49,4
Random,AHCFA,6,1,9,9
Random,AHCFA,6,2,16,7
Random,AHCFA,6,3,19,3
Random,AHCFA,6,4,25,6
Random,AHCFA,6,5,29,4
Random,AHCFA,6,6,35,6
Random,AHCFA,6,7,38,3
Random,AHCFA,6,8,44,6
Random,AHCFA,6,9,55,11
Random,AHCFA,6,10,60,5
Random,AHCFA,6,11,64,4
Random,AHCFA,6,12,68,4
Random,AHCFA,7,1,10,10
Random,AHCFA,7,2,17,7
Random,AHCFA,7,3,20,3
Random,AHCFA,7,4,26,6
Random,AHCFA,7,5,27,1
Random,AHCFA,7,6,30,3
Random,AHCFA,7,7,36,6
Random,AHCFA,7,8,40,4
Random,AHCFA,7,9,42,2
Random,AHCFA,7,10,45,3
Random,AHCFA,7,11,52,7
Random,AHCFA,7,12,58,6
Random,AHCFA,8,1,9,9
Random,AHCFA,8,2,16,7
Random,AHCFA,8,3,23,7
Random,AHCFA,8,4,26,3
Random,AHCFA,8,5,31,5
Random,AHCFA,8,6,36,5
Random,AHCFA,8,7,46,10
Random,AHCFA,8,8,55,9
Random,AHCFA,8,9,61,6
Random,AHCFA,8,10,66,5
Random,AHCFA,8,11,80,14
Random,AHCFA,8,12,89,9
Random,AHCFA,9,1,10,10
Random,AHCFA,9,2,14,4
Random,AHCFA,9,3,22,8
Random,AHCFA,9,4,25,3
Random,AHCFA,9,5,28,3
Random,AHCFA,9,6,32,4
Random,AHCFA,9,7,35,3
Random,AHCFA,9,8,43,8
Random,AHCFA,9,9,48,5
Random,AHCFA,9,10,55,7
Random,AHCFA,9,11,60,5
Random,AHCFA,9,12,68,8
Random,AHCFA,10,1,9,9
Random,AHCFA,10,2,14,5
Random,AHCFA,10,3,18,4
Random,AHCFA,10,4,21,3
Random,AHCFA,10,5,24,3
Random,AHCFA,10,6,28,4
Random,AHCFA,10,7,32,4
Random,AHCFA,10,8,35,3
Random,AHCFA,10,9,39,4
Random,AHCFA,10,10,46,7
Random,AHCFA,10,11,51,5
Random,AHCFA,10,12,56,5
Random,AHCFA,11,1,8,8
Random,AHCFA,11,2,14,6
Random,AHCFA,11,3,25,11
Random,AHCFA,11,4,31,6
Random,AHCFA,11,5,34,3
Random,AHCFA,11,6,38,4
Random,AHCFA,11,7,40,2
Random,AHCFA,11,8,43,3
Random,AHCFA,11,9,46,3
Random,AHCFA,11,10,47,1
Random,AHCFA,11,11,51,4
Random,AHCFA,11,12,54,3
Random,AHCFA,12,1,5,5
Random,AHCFA,12,2,11,6
Random,AHCFA,12,3,16,5
Random,AHCFA,12,4,20,4
Random,AHCFA,12,5,26,6
Random,AHCFA,12,6,32,6
Random,AHCFA,12,7,37,5
Random,AHCFA,12,8,42,5
Random,AHCFA,12,9,47,5
Random,AHCFA,12,10,51,4
Random,AHCFA,12,11,58,7
Random,AHCFA,12,12,65,7
Random,AHCFA,13,1,9,9
Random,AHCFA,13,2,16,7
Random,AHCFA,13,3,21,5
Random,AHCFA,13,4,26,5
Random,AHCFA,13,5,31,5
Random,AHCFA,13,6,39,8
Random,AHCFA,13,7,44,5
Random,AHCFA,13,8,49,5
Random,AHCFA,13,9,57,8
Random,AHCFA,13,10,60,3
Random,AHCFA,13,11,67,7
Random,AHCFA,13,12,76,9
Random,AHCFA,14,1,9,9
Random,AHCFA,14,2,15,6
Random,AHCFA,14,3,23,8
Random,AHCFA,14,4,30,7
Random,AHCFA,14,5,37,7
Random,AHCFA,14,6,42,5
Random,AHCFA,14,7,45,3
Random,AHCFA,14,8,49,4
Random,AHCFA,14,9,53,4
Random,AHCFA,14,10,61,8
Random,AHCFA,14,11,63,2
Random,AHCFA,14,12,65,2
Random,AHCFA,15,1,6,6
Random,AHCFA,15,2,10,4
Random,AHCFA,15,3,17,7
Random,AHCFA,15,4,22,5
Random,AHCFA,15,5,26,4
Random,AHCFA,15,6,31,5
Random,AHCFA,15,7,37,6
Random,AHCFA,15,8,49,12
Random,AHCFA,15,9,56,7
Random,AHCFA,15,10,66,10
Random,AHCFA,15,11,69,3
Random,AHCFA,15,12,76,7
Random,AHCFA,16,1,8,8
Random,AHCFA,16,2,15,7
Random,AHCFA,16,3,19,4
Random,AHCFA,16,4,25,6
Random,AHCFA,16,5,26,1
Random,AHCFA,16,6,34,8
Random,AHCFA,16,7,38,4
Random,AHCFA,16,8,42,4
Random,AHCFA,16,9,46,4
Random,AHCFA,16,10,54,8
Random,AHCFA,16,11,58,4
Random,AHCFA,16,12,68,10
Random,AHCFA,17,1,5,5
Random,AHCFA,17,2,11,6
Random,AHCFA,17,3,17,6
Random,AHCFA,17,4,21,4
Random,AHCFA,17,5,26,5
Random,AHCFA,17,6,31,5
Random,AHCFA,17,7,35,4
Random,AHCFA,17,8,41,6
Random,AHCFA,17,9,52,11
Random,AHCFA,17,10,61,9
Random,AHCFA,17,11,66,5
Random,AHCFA,17,12,73,7
Random,AHCFA,18,1,10,10
Random,AHCFA,18,2,16,6
Random,AHCFA,18,3,21,5
Random,AHCFA,18,4,33,12
Random,AHCFA,18,5,44,11
Random,AHCFA,18,6,50,6
Random,AHCFA,18,7,57,7
Random,AHCFA,18,8,63,6
Random,AHCFA,18,9,71,8
Random,AHCFA,18,10,77,6
Random,AHCFA,18,11,89,12
Random,AHCFA,18,12,102,13
Random,AHCFA,19,1,8,8
Random,AHCFA,19,2,16,8
Random,AHCFA,19,3,23,7
Random,AHCFA,19,4,35,12
Random,AHCFA,19,5,38,3
Random,AHCFA,19,6,44,6
Random,AHCFA,19,7,49,5
Random,AHCFA,19,8,61,12
Random,AHCFA,19,9,69,8
Random,AHCFA,19,10,76,7
Random,AHCFA,19,11,86,10
Random,AHCFA,19,12,92,6
Random,AHCFA,20,1,8,8
Random,AHCFA,20,2,15,7
Random,AHCFA,20,3,22,7
Random,AHCFA,20,4,31,9
Random,AHCFA,20,5,34,3
Random,AHCFA,20,6,39,5
Random,AHCFA,20,7,41,2
Random,AHCFA,20,8,44,3
Random,AHCFA,20,9,51,7
Random,AHCFA,20,10,54,3
Random,AHCFA,20,11,61,7
Random,AHCFA,20,12,69,8
Random,AHCFA,21,1,6,6
Random,AHCFA,21,2,11,5
Random,AHCFA,21,3,17,6
Random,AHCFA,21,4,27,10
Random,AHCFA,21,5,35,8
Random,AHCFA,21,6,41,6
Random,AHCFA,21,7,45,4
Random,AHCFA,21,8,48,3
Random,AHCFA,21,9,53,5
Random,AHCFA,21,10,62,9
Random,AHCFA,21,11,69,7
Random,AHCFA,21,12,77,8
